Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.5661E-15,0.34638,1.0458,0,0,0,1368,624.24,3.8127E-14,5.9733E-14,2024.4,-2.5757,1544.4,0,0,0,0,0,0,package://robotBookShelf/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robotBookShelf/meshes/base_link.STL,,BookShelf-1,Base_Frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
verticalBar,0,0.0436222819275346,3.86417558328474E-16,0,0,0,25.1714586764426,8.40817001959108,5.31553673595718E-18,1.76363553390975E-17,8.42939921424461,2.12840142077074E-17,0.0565967828739629,0,0,0,0,0,0,package://robotBookShelf/meshes/verticalBar.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotBookShelf/meshes/verticalBar.STL,,verticalBar-1,vBar_Frame,vSlider_Axis,verticalBar_Jnt,fixed,1.425,0.75,1,0,0,0,base_link,0,0,0,,,,,,,,,,,,
vertical_Slider,0,0.0551254391856218,0.0300000000066027,0,0,0,0.279892139258282,0.000342573576803573,4.71791427679417E-21,-5.32924895980842E-21,0.00123159285527477,1.34303714447426E-19,0.0013355954703765,0,0,0,0,0,0,package://robotBookShelf/meshes/vertical_Slider.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotBookShelf/meshes/vertical_Slider.STL,,rotationCap-1,vSlider_Frame,vSlider_Axis,vertical_Slider_Jnt,prismatic,0,0.025,-0.56335,0,0,0,verticalBar,0,0,1,0,0,0,0,,,,,,,,
vCap_Base,-0.0469167763400204,0.125167325176425,6.60294041665566E-12,0,0,0,0.32683988842476,0.000348721001072325,-2.80315120129127E-06,6.25837967788528E-20,0.000301084095256028,2.65544422097419E-20,0.000240275985388139,0,0,0,0,0,0,package://robotBookShelf/meshes/vCap_Base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotBookShelf/meshes/vCap_Base.STL,,prismaticJnt-1,slToprsm_Frame,vSlider_Axis,vCap_Base_Jnt,revolute,0,0.025,-0.53335,0,0,0,verticalBar,0,0,1,0,0,0,0,,,,,,,,
prism1_Bar,-0.0450219575612876,0.059983525459292,-4.57032189871143E-11,0,0,0,0.0527787565803084,9.14803125013717E-05,3.75653718307114E-05,3.00875779747334E-21,6.96268419600196E-05,1.09895772777717E-20,0.000119675830545849,0,0,0,0,0,0,package://robotBookShelf/meshes/prism1_Bar.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotBookShelf/meshes/prism1_Bar.STL,,barOut-1,prismatic_Frame,prismatic_Axis,prism1_Bar_Jnt,fixed,-0.0589796309303876,0.149378360327657,0,0,0,0,vCap_Base,0,0,0,,,,,,,,,,,,
prism2_Bar,0.0375182979920583,-0.0499862712714326,-2.41177078308397E-11,0,0,0,0.0408407044966672,5.28215180728651E-05,1.88936706289672E-05,1.71795942958665E-22,4.18302179902024E-05,-2.2888666414489E-22,6.70025791188238E-05,0,0,0,0,0,0,package://robotBookShelf/meshes/prism2_Bar.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotBookShelf/meshes/prism2_Bar.STL,,middleBar-1,middleBar_prsm,prismatic_Axis,prism2_Bar_Jnt,prismatic,-0.015007,0.019995,0,0,0,-3.1416,prism1_Bar,0.60029,-0.79978,0,0,0,0,0,,,,,,,,
prism3_Bar,0.167426765917744,-0.383933669568781,-0.0204992756176015,0,0,0,4.51081247173966,0.253484275729256,0.0444054258622179,0.00317630081529053,0.0530565351072599,-0.0211211248979162,0.297994213376484,0,0,0,0,0,0,package://robotBookShelf/meshes/prism3_Bar.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotBookShelf/meshes/prism3_Bar.STL,,innerBar-1,innerBar_prsm,prismatic_Axis,prism3_Bar_Jnt,prismatic,-0.012006,0.015996,0,0,0,0,prism2_Bar,0.60029,-0.79978,0,0,0,0,0,,,,,,,,
armBase,-2.81135489939022E-05,3.74562066705053E-05,0.143698275507456,0,0,0,1.58464598822167,0.00652824111829979,0.000255091992633764,2.13169807019155E-06,0.00637984260459564,-2.84009907811958E-06,0.00357014592195777,0,0,0,0,0,0,package://robotBookShelf/meshes/armBase.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotBookShelf/meshes/armBase.STL,,lowerArm_Base-1,armBase_Frame,prsmEnd_Axis,armBase_Jnt,fixed,0.15007,-0.19995,0,0,0,3.1416,prism3_Bar,0,0,0,,,,,,,,,,,,
lowerArm,0.121554121488434,0.00418091998906234,0.002075195305628,0,0,0,2.94032922381411,0.0140492090763347,0.00971474436204553,-0.000699094805399956,0.0301891460549885,0.000411952308807297,0.0401565540918035,0,0,0,0,0,0,package://robotBookShelf/meshes/lowerArm.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotBookShelf/meshes/lowerArm.STL,,lowerArm-1,lowerArm_Frame,armBase_Axis,lowerArm_Jnt,revolute,-6.5506E-05,8.7275E-05,0.22,0,0,0,armBase,0.79978,0.60029,0,0,0,0,0,,,,,,,,
upperArm,0.148169845914022,0.156006478878631,0.144573040702411,0,0,0,6.4957632846734,0.12192980379661,-0.0129000870683354,0.00430415317035254,0.123228283745856,-0.025764534519046,0.0473122933814514,0,0,0,0,0,0,package://robotBookShelf/meshes/upperArm.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotBookShelf/meshes/upperArm.STL,,upperArm-1,upperArm_Frame,upperArm_Axis,upperArm_Jnt,revolute,0.26997,-0.10981,0.0074481,0,0,0,lowerArm,0.79978,0.60029,0,0,0,0,0,,,,,,,,
wristBase,-0.137923134798312,-0.012116809714253,0.0496331691675311,0,0,0,1.3492639697806,0.00205491358772309,-0.00288396336702817,-0.000239263324268928,0.0183795423777226,-9.60411321120745E-05,0.0186359796650941,0,0,0,0,0,0,package://robotBookShelf/meshes/wristBase.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotBookShelf/meshes/wristBase.STL,,elbowJnt-1,elbwRot_Frame,elbwV_Axis,wristBase_Jnt,revolute,0.12407,0.20214,0.35186,0,0,0,upperArm,0.14439,-0.19237,-0.97064,0,0,0,0,,,,,,,,
wrist,-0.312651383950218,-0.0602936864910901,-0.0345587646457957,0,0,0,1.16359486800904,0.00231472757791489,-0.0070684823889597,-0.0040514692777843,0.0376050326898552,-0.000781311170449702,0.0385203367741112,0,0,0,0,0,0,package://robotBookShelf/meshes/wrist.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotBookShelf/meshes/wrist.STL,,gripperBase-1,prismGrip_Frame,elbwH_Axis,wrist_Jnt,prismatic,-0.18685,-0.019517,0.053342,0,0,0,wristBase,0.97618,0.18825,0.1079,0,0,0,0,,,,,,,,
gripperBase,0.00423196001890924,0.000867502983793456,0.000348781356945445,0,0,0,0.142232289614168,0.000284740176620567,2.54999700503018E-05,1.467971725306E-05,0.000155835632144929,6.2417199327266E-06,0.000146120155588285,0,0,0,0,0,0,package://robotBookShelf/meshes/gripperBase.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotBookShelf/meshes/gripperBase.STL,,gripSlider-1,rotGrip_Frame,elbwH_Axis,gripperBase_Jnt,revolute,-0.60035,-0.11577,-0.066359,0,0,0,wrist,0.97618,0.18825,0.1079,0,0,0,0,,,,,,,,
gripperSlider,0.00423196001890924,0.000867502983793456,0.000348781356945445,0,0,0,0.142232289614168,0.000284740176620567,2.54999700503018E-05,1.467971725306E-05,0.000155835632144929,6.2417199327266E-06,0.000146120155588285,0,0,0,0,0,0,package://robotBookShelf/meshes/gripperSlider.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotBookShelf/meshes/gripperSlider.STL,,gripSlider-1,rotGrip_Frame,elbwH_Axis,gripperSlider_Jnt,revolute,0,0,0,0,0,0,gripperBase,0.97618,0.18825,0.1079,0,0,0,0,,,,,,,,
gripFinger1,0.000210029048520521,0.00353190659040914,-0.00806213766525955,0,0,0,0.0345000000000001,3.37786319734846E-06,-4.93407615273512E-06,-2.83318909183827E-06,2.80507550168009E-05,-6.14209450885367E-07,2.88164904815029E-05,0,0,0,0,0,0,package://robotBookShelf/meshes/gripFinger1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotBookShelf/meshes/gripFinger1.STL,,gripper-3,pincherGrip_Frame,prsmEnd_Axis,gripFinger1_Jnt,prismatic,-0.049757,-0.020831,0.023102,0,0,0,gripperSlider,0,0,1,0,0,0,0,,,,,,,,
gripFinger2,0.00125458693662173,0.0210974853821428,-0.0481583618365204,0,0,0,0.0345000000000001,3.37786319734846E-06,-4.93407615273517E-06,-2.83318909183819E-06,2.8050755016801E-05,-6.14209450885353E-07,2.8816490481503E-05,0,0,0,0,0,0,package://robotBookShelf/meshes/gripFinger2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotBookShelf/meshes/gripFinger2.STL,,gripper-4,pincherGrip_Frame,gripTrck_Axis,gripFinger2_Jnt,prismatic,-0.049757,-0.020831,0.023102,0,0,0,gripperSlider,-0.98838,0.026965,0.1496,0,0,0,0,,,,,,,,
